sigungu,mdate,mdate_origin,rate_lag,d_job,S_lag,S,A,L,ksic1_code,ksic1,jobbig_code,job_big
전국,01-Sep,2008년09월,0.003229656,"29,713","9,200,050","9,226,323","366,870","337,157",22,전산업,20,전직종
전국,01-Oct,2008년10월,0.005029956,"46,408","9,226,323","9,268,503","420,462","374,054",22,전산업,20,전직종
전국,01-Nov,2008년11월,0.003167718,"29,360","9,268,503","9,295,083","352,332","322,972",22,전산업,20,전직종
전국,01-Dec,2008년12월,-0.002352104,"-21,863","9,295,083","9,271,701","326,404","348,267",22,전산업,20,전직종
전국,01-Jan,2009년01월,-0.004828887,"-44,772","9,271,701","9,217,157","381,452","426,224",22,전산업,20,전직종
전국,01-Feb,2009년02월,0.005018793,"46,259","9,217,157","9,262,765","398,948","352,689",22,전산업,20,전직종
전국,01-Mar,2009년03월,0.004068332,"37,684","9,262,765","9,293,775","491,156","453,472",22,전산업,20,전직종
전국,01-Apr,2009년04월,0.008591019,"79,843","9,293,775","9,368,902","453,998","374,155",22,전산업,20,전직종
전국,01-May,2009년05월,0.003507241,"32,859","9,368,902","9,397,618","360,810","327,951",22,전산업,20,전직종
전국,01-Jun,2009년06월,0.021813081,"204,991","9,397,618","9,596,960","577,259","372,268",22,전산업,20,전직종
전국,01-Jul,2009년07월,0.010277004,"98,628","9,596,960","9,685,019","502,058","403,430",22,전산업,20,전직종
전국,01-Aug,2009년08월,0.004410523,"42,716","9,685,019","9,719,964","377,588","334,872",22,전산업,20,전직종
전국,01-Sep,2009년09월,0.005414012,"52,624","9,719,964","9,766,280","456,006","403,382",22,전산업,20,전직종
전국,01-Oct,2009년10월,0.005651077,"55,190","9,766,280","9,818,125","406,141","350,951",22,전산업,20,전직종
전국,01-Nov,2009년11월,0.003060564,"30,049","9,818,125","9,843,096","395,847","365,798",22,전산업,20,전직종
전국,01-Dec,2009년12월,-0.018483615,"-181,936","9,843,096","9,653,678","375,787","557,723",22,전산업,20,전직종
전국,01-Jan,2010년01월,-0.00764838,"-73,835","9,653,678","9,569,885","467,379","541,214",22,전산업,20,전직종
전국,01-Feb,2010년02월,0.010366269,"99,204","9,569,885","9,664,847","441,092","341,888",22,전산업,20,전직종
전국,01-Mar,2010년03월,0.011810947,"114,151","9,664,847","9,779,500","645,781","531,630",22,전산업,20,전직종
전국,01-Apr,2010년04월,0.012016054,"117,511","9,779,500","9,905,751","577,302","459,791",22,전산업,20,전직종
전국,01-May,2010년05월,0.00503879,"49,913","9,905,751","9,963,987","437,150","387,237",22,전산업,20,전직종
전국,01-Jun,2010년06월,0.002487157,"24,782","9,963,987","9,987,354","433,094","408,312",22,전산업,20,전직종
전국,01-Jul,2010년07월,0.001909214,"19,068","9,987,354","10,002,774","472,754","453,686",22,전산업,20,전직종
전국,01-Aug,2010년08월,0.001784205,"17,847","10,002,774","10,015,637","412,683","394,836",22,전산업,20,전직종
전국,01-Sep,2010년09월,0.002255074,"22,586","10,015,637","10,038,454","400,392","377,806",22,전산업,20,전직종
전국,01-Oct,2010년10월,0.00722681,"72,546","10,038,454","10,113,645","471,315","398,769",22,전산업,20,전직종
전국,01-Nov,2010년11월,0.009164846,"92,690","10,113,645","10,195,131","455,086","362,396",22,전산업,20,전직종
전국,01-Dec,2010년12월,-0.006611587,"-67,406","10,195,131","10,131,058","387,365","454,771",22,전산업,20,전직종
전국,01-Jan,2011년01월,-0.003111324,"-31,521","10,131,058","10,088,463","511,945","543,466",22,전산업,20,전직종
전국,01-Feb,2011년02월,0.006040861,"60,943","10,088,463","10,151,930","399,266","338,323",22,전산업,20,전직종
전국,01-Mar,2011년03월,0.012578889,"127,700","10,151,930","10,272,410","690,508","562,808",22,전산업,20,전직종
전국,01-Apr,2011년04월,0.01301603,"133,706","10,272,410","10,405,782","600,794","467,088",22,전산업,20,전직종
